city,county,place_fips,metro_status,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct
DUMAS,Moore,21556,Non-Metro,13612,2004000.0,4576000.0,7762000.0,570.2321481046135,20160000.0,0.0,20160000.0,1481.0461357625625,2.0,330941768.0,24312.501322362623,3158.0,3680995.5,4783292.53,29.94562286207631
AZLE,Tarrant,05168,Metro,13607,7252000.0,2669000.0,12905000.0,948.4089071801279,22160000.0,0.0,22160000.0,1628.5735283310062,1.25,516289238.0,37942.9145292864,5180.0,2678825.41,4132702.21,54.272921056098234
LEVELLAND,Hockley,42448,Non-Metro,13497,6130000.0,5146000.0,12820000.0,949.8407053419278,11167000.0,0.0,11167000.0,827.369044972957,2.0,384939919.0,28520.4059420612,3464.0,4453401.46,4930556.27,10.714390209051567
SANTA FE,Galveston,65726,Metro,13461,2881000.0,3448000.0,6693000.0,497.214174281257,2905000.0,0.0,2905000.0,215.8086323452938,2.0,201324078.0,14956.101181190104,3754.0,2584468.67,3850423.67,48.983182295647644
LUMBERTON,Hardin,45120,Non-Metro,13383,0.0,3464000.0,3465000.0,258.9105581708137,0.0,0.0,0.0,0.0,2.0,350565000.0,26194.799372338042,3892.0,3853082.62,5135515.97,33.283307846640454
SELMA,Bexar,66704,Metro,13130,2791000.0,10543000.0,14303000.0,1089.3373952779893,21222000.0,0.0,21222000.0,1616.2985529322164,1.5,1140355409.0,86851.13549124144,3344.0,7001363.25,9786547.87,39.7806044415707
HENDERSON,Rusk,33212,Non-Metro,13049,3461000.0,6743000.0,10336000.0,792.091347996015,18410000.0,0.0,18410000.0,1410.836079393057,2.0,639493214.0,49007.06674840984,4858.0,5761999.04,9226849.78,60.13278926197112
FOREST HILL,Tarrant,26544,Metro,12943,6803000.0,3562000.0,10908000.0,842.7721548327281,2500000.0,0.0,2500000.0,193.15460094259444,1.75,351583185.0,27163.963918720543,2992.0,3294131.93,4153171.11,26.077862036327115
ATHENS,Henderson,04504,Non-Metro,12770,6457000.0,5884000.0,14303000.0,1120.0469851213782,9143000.0,0.0,9143000.0,715.9749412685983,2.0,594505657.0,46554.86742364918,4908.0,5993086.01,8721858.35,45.53200697348243
TROPHY CLUB,Denton,73710,Metro,12636,9941000.0,2035000.0,13238000.0,1047.64165875277,48893000.0,0.0,48893000.0,3869.341563786008,1.75,131068094.0,10372.593700538146,2720.0,1758199.52,2649011.2,50.666131452475895
PORT NECHES,Jefferson,58940,Metro,12596,7174000.0,1808000.0,9880000.0,784.3759923785328,15395000.0,0.0,15395000.0,1222.2134010797079,1.5,156351807.0,12412.814147348365,2464.0,1653603.88,2735850.42,65.44775040077919
GATESVILLE,Coryell,29168,Non-Metro,12550,2556000.0,2591000.0,5178000.0,412.58964143426294,26512000.0,0.0,26512000.0,2112.5099601593624,1.5,274235860.0,21851.462948207172,3258.0,2242396.65,2942446.78,31.218835882581253
